"dateCollected","patchDistance","transectNum","roadDistance","massBag","massFinal","seedAbundance","abundanceMass","abundanceVolume","Date of Seeds counted","comments","uid"
"30-Aug",40,7,3,793.98,786.98,20,0.025413606,0.127323981,"15-Sep",NA,"40_3"
"30-Aug",45,8,2,745.89,738.89,23,0.031127773,0.146422578,"13-Sep",NA,"45_2"
"30-Aug",45,8,3,797.36,790.36,15,0.018978693,0.095492986,"14-Sep",NA,"45_3"
"30-Aug",45,8,4,781.29,774.29,48,0.061992277,0.305577554,"17-Sep",NA,"45_4"
"30-Aug",50,9,1,576.15,569.15,1,0.001757006,0.006366199,"13-Sep",NA,"50_1"
"30-Aug",50,9,2,675.56,668.56,2,0.002991504,0.012732398,"13-Sep",NA,"50_2"
"30-Aug",50,9,4,720.42,713.42,6,0.008410193,0.038197194,"14-Sep",NA,"50_4"
"30-Aug",50,9,3,749.65,742.65,1,0.001346529,0.006366199,"14-Sep",NA,"50_3"
"31-Aug",55,10,3,885.43,878.43,3,0.003415184,0.019098597,"3-Oct",NA,"55_3"
"31-Aug",55,10,4,982.06,975.06,0,0,0,"5-Oct",NA,"55_4"
"31-Aug",55,10,1,723.95,716.95,5,0.006973987,0.031830995,"5-Oct",NA,"55_1"
"31-Aug",55,10,2,781.51,774.51,9,0.01162025,0.057295791,"21-Oct",NA,"55_2"
"31-Aug",60,11,2,864.74,857.74,1,0.001165854,0.006366199,"3-Oct",NA,"60_2"
"31-Aug",60,11,3,882.47,875.47,0,0,0,"3-Oct",NA,"60_3"
"31-Aug",60,11,1,878.6,871.6,0,0,0,"5-Oct",NA,"60_1"
"31-Aug",60,11,4,902.03,895.03,0,0,0,"5-Oct",NA,"60_4"
"31-Aug",65,12,1,828.72,821.72,0,0,0,"17-Sep",NA,"65_1"
"31-Aug",65,12,2,898.12,891.12,4,0.004488733,0.025464796,"20-Sep",NA,"65_2"
"31-Aug",65,12,4,930.3,923.3,0,0,0,"20-Sep",NA,"65_4"
"31-Aug",65,12,3,901.91,894.91,0,0,0,"21-Sep",NA,"65_3"
"31-Aug",70,13,4,905.2,898.2,1,0.001113338,0.006366199,"21-Sep",NA,"70_4"
"31-Aug",70,13,2,820.77,813.77,0,0,0,"21-Sep",NA,"70_2"
"31-Aug",70,13,3,908,901,0,0,0,"21-Sep","weight actually was even number wow","70_3"
"31-Aug",70,13,1,858.24,851.24,3,0.00352427,0.019098597,"21-Sep",NA,"70_1"
"31-Aug",75,14,4,936.82,929.82,0,0,0,"17-Sep",NA,"75_4"
"31-Aug",75,14,1,913.46,906.46,0,0,0,"22-Sep","Quart zipper bag","75_1"
"31-Aug",75,14,2,906.5,899.5,0,0,0,"3-Oct",NA,"75_2"
"31-Aug",75,14,3,988.26,981.26,3,0.003057294,0.019098597,"21-Oct",NA,"75_3"
"31-Aug",80,15,4,899.85,892.85,0,0,0,"20-Sep",NA,"80_4"
"31-Aug",80,15,3,983.29,976.29,2,0.002048572,0.012732398,"20-Sep",NA,"80_3"
"31-Aug",80,15,2,952.2,945.2,0,0,0,"21-Sep",NA,"80_2"
"31-Aug",80,15,1,857.05,850.05,3,0.003529204,0.019098597,"22-Sep",NA,"80_1"
"31-Aug",85,16,1,856.7,849.7,2,0.002353772,0.012732398,"17-Sep",NA,"85_1"
"31-Aug",85,16,4,981.5,974.5,0,0,0,"20-Sep",NA,"85_4"
"31-Aug",85,16,3,927.87,920.87,3,0.003257789,0.019098597,"20-Sep",NA,"85_3"
"31-Aug",85,16,2,922.59,915.59,1,0.001092192,0.006366199,"20-Sep",NA,"85_2"
"31-Aug",90,17,3,951.58,944.58,0,0,0,"20-Sep",NA,"90_3"
"31-Aug",90,17,4,1017.48,1010.48,1,0.000989629,0.006366199,"21-Sep",NA,"90_4"
"31-Aug",90,17,2,940.31,933.31,0,0,0,"3-Oct",NA,"90_2"
"31-Aug",90,17,1,896.26,889.26,1,0.001124531,0.006366199,"3-Oct",NA,"90_1"
"31-Aug",95,18,1,915.22,908.22,0,0,0,"20-Sep",NA,"95_1"
"31-Aug",95,18,3,1018.44,1011.44,0,0,0,"20-Sep",NA,"95_3"
"31-Aug",95,18,4,958.77,951.77,0,0,0,"20-Sep",NA,"95_4"
"31-Aug",95,18,2,985.59,978.59,1,0.001021878,0.006366199,"21-Sep",NA,"95_2"
"31-Aug",100,19,3,964.74,957.74,0,0,0,"22-Sep",NA,"100_3"
"31-Aug",100,19,2,898.31,891.31,1,0.001121944,0.006366199,"22-Sep",NA,"100_2"
"31-Aug",100,19,1,823.34,816.34,0,0,0,"22-Sep",NA,"100_1"
"31-Aug",100,19,4,921.26,914.26,0,0,0,"3-Oct","Blue ziplock","100_4"
"31-Aug",105,20,2,934.7,927.7,0,0,0,"5-Oct",NA,"105_2"
"31-Aug",105,20,4,967.37,960.37,0,0,0,"5-Oct",NA,"105_4"
"31-Aug",105,20,1,977.78,970.78,3,0.003090299,0.019098597,"21-Oct",NA,"105_1"
"31-Aug",105,20,3,977.26,970.26,0,0,0,"21-Oct",NA,"105_3"
"24-Oct",5,21,4,920.14,913.14,0,0,0,"21-Nov",NA,"5_4"
"24-Oct",5,21,3,857.14,850.14,0,0,0,"21-Nov",NA,"5_3"
"24-Oct",5,21,2,792.24,785.24,0,0,0,"6-Dec",NA,"5_2"
"24-Oct",5,21,1,734.77,727.77,2,0.002748121,0.012732398,"6-Dec",NA,"5_1"
"24-Oct",110,22,3,870.77,863.77,3,0.003473147,0.019098597,"30-Nov",NA,"110_3"
"24-Oct",110,22,2,909.03,902.03,0,0,0,"30-Nov",NA,"110_2"
"24-Oct",110,22,1,951.62,944.62,1,0.001058627,0.006366199,"3-Dec",NA,"110_1"
"24-Oct",110,22,4,986.92,979.92,0,0,0,"5-Dec",NA,"110_4"
"24-Oct",115,23,2,935.76,928.76,3,0.003230113,0.019098597,"30-Nov",NA,"115_2"
"24-Oct",115,23,4,967.13,960.13,0,0,0,"30-Nov",NA,"115_4"
"24-Oct",115,23,1,1008.82,1001.82,2,0.001996367,0.012732398,"30-Nov",NA,"115_1"
"24-Oct",115,23,3,970.83,963.83,1,0.001037527,0.006366199,"5-Dec","B","115_3"
"24-Oct",120,24,3,859.24,852.24,0,0,0,"3-Dec",NA,"120_3"
"24-Oct",120,24,1,819.62,812.62,1,0.001230587,0.006366199,"3-Dec",NA,"120_1"
"24-Oct",120,24,4,920.53,913.53,0,0,0,"5-Dec",NA,"120_4"
"24-Oct",120,24,2,883.54,876.54,3,0.003422548,0.019098597,"5-Dec",NA,"120_2"
"24-Oct",125,25,4,847.21,840.21,0,0,0,"30-Nov",NA,"125_4"
"24-Oct",125,25,1,846.52,839.52,0,0,0,"3-Dec",NA,"125_1"
"24-Oct",125,25,2,825.22,818.22,0,0,0,"5-Dec",NA,"125_2"
"24-Oct",125,25,3,939.75,932.75,1,0.001072099,0.006366199,"8-Dec",NA,"125_3"
"24-Oct",135,27,2,865.16,858.16,1,0.001165284,0.006366199,"5-Dec",NA,"135_2"
"24-Oct",135,27,3,868.76,861.76,37,0.042935388,0.235549365,"6-Dec",NA,"135_3"
"24-Oct",135,27,4,858.79,851.79,0,0,0,"6-Dec",NA,"135_4"
"24-Oct",135,27,1,887.69,880.69,0,0,0,"8-Dec",NA,"135_1"
"24-Oct",140,28,3,920.89,913.89,0,0,0,"6-Dec",NA,"140_3"
"24-Oct",140,28,1,740.13,733.13,0,0,0,"6-Dec",NA,"140_1"
"24-Oct",140,28,4,881.14,874.14,0,0,0,"8-Dec",NA,"140_4"
"24-Oct",140,28,2,846.7,839.7,0,0,0,"8-Dec",NA,"140_2"
"24-Oct",145,29,3,860.12,853.12,0,0,0,"5-Dec",NA,"145_3"
"24-Oct",145,29,1,656.56,649.56,4,0.006158015,0.025464796,"6-Dec","6-Dec","145_1"
"24-Oct",145,29,2,844.16,837.16,3,0.003583544,0.019098597,"6-Dec","One seed sprouted!","145_2"
"24-Oct",145,29,4,907.68,900.68,0,0,0,"8-Dec",NA,"145_4"
"24-Oct",150,30,4,912.76,905.76,0,0,0,"30-Nov",NA,"150_4"
"24-Oct",150,30,3,783.99,776.99,0,0,0,"5-Dec",NA,"150_3"
"24-Oct",150,30,1,843.25,836.25,0,0,0,"8-Dec",NA,"150_1"
"24-Oct",150,30,2,831.94,824.94,0,0,0,"8-Dec",NA,"150_2"
"26-Oct",155,31,3,764.2,757.2,0,0,0,"8-Dec",NA,"155_3"
"26-Oct",155,31,2,841.32,834.32,0,0,0,"8-Dec",NA,"155_2"
"26-Oct",155,31,4,891.05,884.05,0,0,0,"8-Dec",NA,"155_4"
"26-Oct",155,31,1,763.02,756.02,0,0,0,"8-Dec",NA,"155_1"
"26-Oct",160,32,4,897.73,890.73,0,0,0,"20-Nov",NA,"160_4"
"26-Oct",160,32,1,564.71,557.71,0,0,0,"5-Dec",NA,"160_1"
"26-Oct",160,32,2,559.34,552.34,0,0,0,"5-Dec",NA,"160_2"
"26-Oct",165,33,1,719.46,712.46,0,0,0,"20-Nov",NA,"165_1"
"26-Oct",165,33,3,860.44,853.44,4,0.004686914,0.025464796,"21-Nov",NA,"165_3"
"26-Oct",165,33,2,763.52,756.52,2,0.002643684,0.012732398,"21-Nov",NA,"165_2"
"26-Oct",160,32,3,767.07,760.07,0,0,0,"5-Dec",NA,"160_3"
"26-Oct",165,33,4,899.67,892.67,0,0,0,"5-Dec",NA,"165_4"
"26-Oct",170,34,3,865.69,858.69,0,0,0,"20-Nov",NA,"170_3"
"26-Oct",170,34,4,891.96,884.96,0,0,0,"21-Nov",NA,"170_4"
"26-Oct",170,34,1,718.84,711.84,0,0,0,"5-Dec","Blue","170_1"
"26-Oct",170,34,2,810.99,803.99,0,0,0,"8-Dec",NA,"170_2"
"26-Oct",175,35,3,819.32,812.32,0,0,0,"20-Nov",NA,"175_3"
"26-Oct",175,35,1,522.38,515.38,0,0,0,"21-Nov",NA,"175_1"
"26-Oct",175,35,2,718.71,711.71,0,0,0,"6-Dec",NA,"175_2"
"26-Oct",175,35,4,845.74,838.74,0,0,0,"6-Dec",NA,"175_4"
"26-Oct",180,36,4,924.84,917.84,0,0,0,"21-Nov",NA,"180_4"
"26-Oct",180,36,2,682.67,675.67,0,0,0,"21-Nov",NA,"180_2"
"26-Oct",180,36,3,840.05,833.05,0,0,0,"6-Dec",NA,"180_3"
"26-Oct",180,36,1,706.81,699.81,0,0,0,"6-Dec",NA,"180_1"
"26-Oct",0,37,3,788.76,781.76,0,0,0,"9-Nov",NA,"0_3"
"26-Oct",0,37,4,808.73,801.73,0,0,0,"9-Nov",NA,"0_4"
"26-Oct",0,37,1,547.04,540.04,0,0,0,"9-Nov","No tag at end","0_1"
"26-Oct",0,37,2,659.43,652.43,0,0,0,"9-Nov",NA,"0_2"
